instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
4227,6/30/2011,3,0,6,0,0,4,1,1,0.66,0.62,0.50,0.16,15.00,39.00,54.00
4228,6/30/2011,3,0,6,1,0,4,1,1,0.64,0.62,0.53,0.13,13.00,19.00,32.00
4229,6/30/2011,3,0,6,2,0,4,1,1,0.62,0.62,0.57,0.13,2.00,6.00,8.00
4230,6/30/2011,3,0,6,3,0,4,1,1,0.60,0.61,0.60,0.16,2.00,7.00,9.00
4231,6/30/2011,3,0,6,4,0,4,1,1,0.58,0.55,0.64,0.13,2.00,4.00,6.00
4232,6/30/2011,3,0,6,5,0,4,1,1,0.58,0.55,0.64,0.25,1.00,24.00,25.00
4233,6/30/2011,3,0,6,6,0,4,1,1,0.60,0.61,0.64,0.25,4.00,119.00,123.00
4234,6/30/2011,3,0,6,7,0,4,1,1,0.62,0.61,0.61,0.22,29.00,291.00,320.00
4235,6/30/2011,3,0,6,8,0,4,1,1,0.68,0.64,0.47,0.22,44.00,511.00,555.00
4236,6/30/2011,3,0,6,9,0,4,1,1,0.70,0.64,0.42,0.22,33.00,227.00,260.00
4237,6/30/2011,3,0,6,10,0,4,1,1,0.72,0.65,0.42,0.19,35.00,97.00,132.00
4238,6/30/2011,3,0,6,11,0,4,1,1,0.74,0.65,0.37,0.13,47.00,122.00,169.00
4239,6/30/2011,3,0,6,12,0,4,1,1,0.76,0.67,0.35,0.16,50.00,183.00,233.00
4240,6/30/2011,3,0,6,13,0,4,1,1,0.76,0.67,0.33,0.19,70.00,162.00,232.00
4241,6/30/2011,3,0,6,14,0,4,1,1,0.78,0.68,0.31,0.19,46.00,117.00,163.00
4242,6/30/2011,3,0,6,15,0,4,1,1,0.78,0.67,0.25,0.25,64.00,176.00,240.00
4243,6/30/2011,3,0,6,16,0,4,1,1,0.80,0.70,0.26,0.13,63.00,260.00,323.00
4244,6/30/2011,3,0,6,17,0,4,1,1,0.78,0.68,0.27,0.36,98.00,496.00,594.00
4245,6/30/2011,3,0,6,18,0,4,1,1,0.76,0.67,0.29,0.25,114.00,472.00,586.00
4246,6/30/2011,3,0,6,19,0,4,1,1,0.74,0.65,0.33,0.19,89.00,366.00,455.00
4247,6/30/2011,3,0,6,20,0,4,1,1,0.74,0.65,0.33,0.19,55.00,285.00,340.00
4248,6/30/2011,3,0,6,21,0,4,1,1,0.72,0.65,0.37,0.10,81.00,242.00,323.00
4249,6/30/2011,3,0,6,22,0,4,1,1,0.70,0.64,0.42,0.16,43.00,164.00,207.00
4250,6/30/2011,3,0,6,23,0,4,1,1,0.66,0.62,0.50,0.00,27.00,99.00,126.00
4251,7/1/2011,3,0,7,0,0,5,1,1,0.66,0.62,0.50,0.00,20.00,48.00,68.00
4252,7/1/2011,3,0,7,1,0,5,1,1,0.66,0.62,0.50,0.00,15.00,16.00,31.00
4253,7/1/2011,3,0,7,2,0,5,1,1,0.62,0.61,0.69,0.00,6.00,7.00,13.00
4254,7/1/2011,3,0,7,3,0,5,1,1,0.64,0.62,0.53,0.00,5.00,6.00,11.00
4255,7/1/2011,3,0,7,4,0,5,1,1,0.62,0.62,0.57,0.00,1.00,5.00,6.00
4256,7/1/2011,3,0,7,5,0,5,1,1,0.60,0.61,0.64,0.13,3.00,27.00,30.00
4257,7/1/2011,3,0,7,6,0,5,1,1,0.62,0.61,0.61,0.13,11.00,97.00,108.00
4258,7/1/2011,3,0,7,7,0,5,1,1,0.66,0.62,0.54,0.10,25.00,218.00,243.00
4259,7/1/2011,3,0,7,8,0,5,1,1,0.70,0.64,0.42,0.16,39.00,453.00,492.00
4260,7/1/2011,3,0,7,9,0,5,1,1,0.74,0.65,0.35,0.16,58.00,202.00,260.00
4261,7/1/2011,3,0,7,10,0,5,1,1,0.76,0.67,0.33,0.16,61.00,109.00,170.00
4262,7/1/2011,3,0,7,11,0,5,1,1,0.80,0.70,0.26,0.00,68.00,146.00,214.00
4263,7/1/2011,3,0,7,12,0,5,1,1,0.80,0.70,0.26,0.00,83.00,180.00,263.00
4264,7/1/2011,3,0,7,13,0,5,1,1,0.80,0.68,0.24,0.00,83.00,209.00,292.00
4265,7/1/2011,3,0,7,14,0,5,1,1,0.82,0.70,0.23,0.19,78.00,225.00,303.00
4266,7/1/2011,3,0,7,15,0,5,1,1,0.82,0.70,0.21,0.25,82.00,299.00,381.00
4267,7/1/2011,3,0,7,16,0,5,1,1,0.82,0.70,0.17,0.00,85.00,342.00,427.00
4268,7/1/2011,3,0,7,17,0,5,1,1,0.82,0.70,0.21,0.19,99.00,362.00,461.00
4269,7/1/2011,3,0,7,18,0,5,1,1,0.80,0.68,0.24,0.25,98.00,324.00,422.00
4270,7/1/2011,3,0,7,19,0,5,1,1,0.78,0.67,0.25,0.19,80.00,238.00,318.00
4271,7/1/2011,3,0,7,20,0,5,1,1,0.72,0.65,0.42,0.22,84.00,185.00,269.00
4272,7/1/2011,3,0,7,21,0,5,1,1,0.70,0.64,0.45,0.19,69.00,149.00,218.00
4273,7/1/2011,3,0,7,22,0,5,1,1,0.70,0.64,0.42,0.00,49.00,173.00,222.00
4274,7/1/2011,3,0,7,23,0,5,1,1,0.68,0.64,0.47,0.09,44.00,96.00,140.00
4275,7/2/2011,3,0,7,0,0,6,0,1,0.68,0.64,0.47,0.09,31.00,84.00,115.00
4276,7/2/2011,3,0,7,1,0,6,0,1,0.66,0.62,0.54,0.00,20.00,58.00,78.00
4277,7/2/2011,3,0,7,2,0,6,0,1,0.64,0.62,0.53,0.00,9.00,43.00,52.00
4278,7/2/2011,3,0,7,3,0,6,0,1,0.64,0.62,0.53,0.00,5.00,21.00,26.00
4279,7/2/2011,3,0,7,4,0,6,0,1,0.62,0.61,0.61,0.00,3.00,8.00,11.00
4280,7/2/2011,3,0,7,5,0,6,0,1,0.58,0.55,0.73,0.10,1.00,13.00,14.00
4281,7/2/2011,3,0,7,6,0,6,0,1,0.62,0.61,0.69,0.10,11.00,21.00,32.00
4282,7/2/2011,3,0,7,7,0,6,0,1,0.64,0.61,0.65,0.00,10.00,35.00,45.00
4283,7/2/2011,3,0,7,8,0,6,0,1,0.68,0.64,0.57,0.00,38.00,94.00,132.00
4284,7/2/2011,3,0,7,9,0,6,0,1,0.74,0.67,0.51,0.09,55.00,124.00,179.00
4285,7/2/2011,3,0,7,10,0,6,0,1,0.80,0.71,0.36,0.00,103.00,168.00,271.00
4286,7/2/2011,3,0,7,11,0,6,0,1,0.80,0.71,0.36,0.09,144.00,213.00,357.00
4287,7/2/2011,3,0,7,12,0,6,0,1,0.82,0.71,0.30,0.13,142.00,232.00,374.00
4288,7/2/2011,3,0,7,13,0,6,0,1,0.82,0.71,0.30,0.10,178.00,226.00,404.00
4289,7/2/2011,3,0,7,14,0,6,0,1,0.84,0.71,0.20,0.00,177.00,215.00,392.00
4290,7/2/2011,3,0,7,15,0,6,0,1,0.86,0.73,0.19,0.16,168.00,163.00,331.00
4291,7/2/2011,3,0,7,16,0,6,0,1,0.88,0.74,0.22,0.22,206.00,192.00,398.00
4292,7/2/2011,3,0,7,17,0,6,0,1,0.84,0.73,0.30,0.22,179.00,170.00,349.00
4293,7/2/2011,3,0,7,18,0,6,0,1,0.82,0.71,0.30,0.28,193.00,190.00,383.00
4294,7/2/2011,3,0,7,19,0,6,0,1,0.80,0.70,0.33,0.22,156.00,149.00,305.00
4295,7/2/2011,3,0,7,20,0,6,0,1,0.76,0.68,0.45,0.28,136.00,148.00,284.00
4296,7/2/2011,3,0,7,21,0,6,0,1,0.74,0.67,0.48,0.19,95.00,137.00,232.00
4297,7/2/2011,3,0,7,22,0,6,0,1,0.72,0.67,0.51,0.16,78.00,123.00,201.00
4298,7/2/2011,3,0,7,23,0,6,0,1,0.72,0.67,0.54,0.28,66.00,88.00,154.00
4299,7/3/2011,3,0,7,0,0,0,0,1,0.70,0.65,0.58,0.22,47.00,97.00,144.00
4300,7/3/2011,3,0,7,1,0,0,0,2,0.70,0.65,0.61,0.16,23.00,55.00,78.00
4301,7/3/2011,3,0,7,2,0,0,0,1,0.70,0.65,0.58,0.19,19.00,50.00,69.00
4302,7/3/2011,3,0,7,3,0,0,0,3,0.68,0.64,0.65,0.09,8.00,25.00,33.00
4303,7/3/2011,3,0,7,4,0,0,0,3,0.68,0.64,0.65,0.09,3.00,2.00,5.00
4304,7/3/2011,3,0,7,5,0,0,0,3,0.62,0.58,0.83,0.19,0.00,1.00,1.00
4305,7/3/2011,3,0,7,6,0,0,0,2,0.62,0.55,0.94,0.09,0.00,3.00,3.00
4306,7/3/2011,3,0,7,7,0,0,0,2,0.64,0.58,0.89,0.19,3.00,22.00,25.00
4307,7/3/2011,3,0,7,8,0,0,0,1,0.68,0.64,0.79,0.22,39.00,53.00,92.00
4308,7/3/2011,3,0,7,9,0,0,0,1,0.70,0.67,0.74,0.25,82.00,99.00,181.00
4309,7/3/2011,3,0,7,10,0,0,0,1,0.74,0.70,0.66,0.16,131.00,133.00,264.00
4310,7/3/2011,3,0,7,11,0,0,0,1,0.76,0.71,0.62,0.10,215.00,175.00,390.00
4311,7/3/2011,3,0,7,12,0,0,0,1,0.80,0.76,0.55,0.10,198.00,206.00,404.00
4312,7/3/2011,3,0,7,13,0,0,0,1,0.80,0.77,0.59,0.22,248.00,173.00,421.00
4313,7/3/2011,3,0,7,14,0,0,0,1,0.82,0.79,0.56,0.25,225.00,150.00,375.00
4314,7/3/2011,3,0,7,15,0,0,0,1,0.84,0.80,0.53,0.30,194.00,182.00,376.00
4315,7/3/2011,3,0,7,16,0,0,0,1,0.84,0.80,0.53,0.30,195.00,219.00,414.00
4316,7/3/2011,3,0,7,17,0,0,0,3,0.80,0.74,0.49,0.85,181.00,177.00,358.00
4317,7/3/2011,3,0,7,18,0,0,0,3,0.80,0.74,0.49,0.85,74.00,107.00,181.00
4318,7/3/2011,3,0,7,19,0,0,0,2,0.66,0.61,0.83,0.19,100.00,83.00,183.00
4319,7/3/2011,3,0,7,20,0,0,0,3,0.66,0.61,0.83,0.00,83.00,93.00,176.00
4320,7/3/2011,3,0,7,21,0,0,0,2,0.66,0.61,0.83,0.16,75.00,92.00,167.00
4321,7/3/2011,3,0,7,22,0,0,0,2,0.66,0.61,0.78,0.10,69.00,93.00,162.00
4322,7/3/2011,3,0,7,23,0,0,0,1,0.64,0.58,0.83,0.16,70.00,77.00,147.00
4323,7/4/2011,3,0,7,0,1,1,0,1,0.64,0.58,0.83,0.13,63.00,77.00,140.00
4324,7/4/2011,3,0,7,1,1,1,0,1,0.64,0.58,0.83,0.09,43.00,76.00,119.00
4325,7/4/2011,3,0,7,2,1,1,0,1,0.64,0.58,0.83,0.00,33.00,30.00,63.00
4326,7/4/2011,3,0,7,3,1,1,0,1,0.64,0.59,0.78,0.00,13.00,13.00,26.00
4327,7/4/2011,3,0,7,4,1,1,0,2,0.66,0.61,0.78,0.09,8.00,4.00,12.00
4328,7/4/2011,3,0,7,5,1,1,0,2,0.64,0.58,0.83,0.13,1.00,3.00,4.00
4329,7/4/2011,3,0,7,6,1,1,0,1,0.64,0.58,0.89,0.16,5.00,11.00,16.00
4330,7/4/2011,3,0,7,7,1,1,0,1,0.66,0.61,0.83,0.13,17.00,19.00,36.00
4331,7/4/2011,3,0,7,8,1,1,0,1,0.70,0.67,0.74,0.10,42.00,44.00,86.00
4332,7/4/2011,3,0,7,9,1,1,0,2,0.72,0.68,0.66,0.09,142.00,96.00,238.00
4333,7/4/2011,3,0,7,10,1,1,0,2,0.76,0.70,0.55,0.09,166.00,114.00,280.00
4334,7/4/2011,3,0,7,11,1,1,0,2,0.76,0.70,0.55,0.09,177.00,172.00,349.00
4335,7/4/2011,3,0,7,12,1,1,0,2,0.78,0.71,0.52,0.00,237.00,210.00,447.00
4336,7/4/2011,3,0,7,13,1,1,0,2,0.78,0.71,0.49,0.00,242.00,181.00,423.00
4337,7/4/2011,3,0,7,14,1,1,0,1,0.80,0.73,0.46,0.00,235.00,173.00,408.00
4338,7/4/2011,3,0,7,15,1,1,0,1,0.82,0.74,0.43,0.09,224.00,184.00,408.00
4339,7/4/2011,3,0,7,16,1,1,0,1,0.82,0.74,0.41,0.00,236.00,216.00,452.00
4340,7/4/2011,3,0,7,17,1,1,0,1,0.80,0.73,0.46,0.00,240.00,196.00,436.00
4341,7/4/2011,3,0,7,18,1,1,0,1,0.80,0.73,0.46,0.13,222.00,196.00,418.00
4342,7/4/2011,3,0,7,19,1,1,0,2,0.78,0.71,0.49,0.16,170.00,205.00,375.00
4343,7/4/2011,3,0,7,20,1,1,0,2,0.76,0.70,0.55,0.10,195.00,191.00,386.00
4344,7/4/2011,3,0,7,21,1,1,0,2,0.74,0.68,0.62,0.10,195.00,262.00,457.00
4345,7/4/2011,3,0,7,22,1,1,0,2,0.74,0.68,0.62,0.13,115.00,211.00,326.00
4346,7/4/2011,3,0,7,23,1,1,0,2,0.72,0.68,0.70,0.10,44.00,94.00,138.00
4347,7/5/2011,3,0,7,0,0,2,1,2,0.70,0.65,0.65,0.16,19.00,36.00,55.00
4348,7/5/2011,3,0,7,1,0,2,1,1,0.70,0.65,0.65,0.10,15.00,24.00,39.00
4349,7/5/2011,3,0,7,2,0,2,1,1,0.66,0.62,0.74,0.09,8.00,5.00,13.00
4350,7/5/2011,3,0,7,3,0,2,1,1,0.66,0.62,0.74,0.22,1.00,7.00,8.00
4351,7/5/2011,3,0,7,4,0,2,1,1,0.66,0.62,0.69,0.16,1.00,4.00,5.00
4352,7/5/2011,3,0,7,5,0,2,1,1,0.66,0.62,0.69,0.00,1.00,19.00,20.00
4353,7/5/2011,3,0,7,6,0,2,1,1,0.66,0.62,0.74,0.09,3.00,91.00,94.00
4354,7/5/2011,3,0,7,7,0,2,1,1,0.70,0.65,0.65,0.09,22.00,248.00,270.00
4355,7/5/2011,3,0,7,8,0,2,1,1,0.72,0.68,0.62,0.13,41.00,391.00,432.00
4356,7/5/2011,3,0,7,9,0,2,1,1,0.74,0.68,0.58,0.13,50.00,177.00,227.00
4357,7/5/2011,3,0,7,10,0,2,1,1,0.76,0.70,0.52,0.10,55.00,84.00,139.00
4358,7/5/2011,3,0,7,11,0,2,1,1,0.78,0.70,0.46,0.10,75.00,97.00,172.00
4359,7/5/2011,3,0,7,12,0,2,1,1,0.80,0.73,0.43,0.10,71.00,130.00,201.00
4360,7/5/2011,3,0,7,13,0,2,1,1,0.82,0.74,0.43,0.10,67.00,136.00,203.00
4361,7/5/2011,3,0,7,14,0,2,1,1,0.80,0.74,0.49,0.16,66.00,112.00,178.00
4362,7/5/2011,3,0,7,15,0,2,1,1,0.82,0.74,0.43,0.00,51.00,111.00,162.00
4363,7/5/2011,3,0,7,16,0,2,1,1,0.82,0.76,0.46,0.10,79.00,202.00,281.00
4364,7/5/2011,3,0,7,17,0,2,1,1,0.82,0.76,0.46,0.10,79.00,466.00,545.00
4365,7/5/2011,3,0,7,18,0,2,1,1,0.80,0.76,0.55,0.16,70.00,426.00,496.00
4366,7/5/2011,3,0,7,19,0,2,1,1,0.80,0.77,0.59,0.13,71.00,297.00,368.00
4367,7/5/2011,3,0,7,20,0,2,1,1,0.76,0.73,0.66,0.10,59.00,225.00,284.00
4368,7/5/2011,3,0,7,21,0,2,1,1,0.78,0.74,0.62,0.25,77.00,168.00,245.00
4369,7/5/2011,3,0,7,22,0,2,1,1,0.76,0.73,0.66,0.22,31.00,124.00,155.00
4370,7/5/2011,3,0,7,23,0,2,1,1,0.74,0.70,0.66,0.16,19.00,54.00,73.00
4371,7/6/2011,3,0,7,0,0,3,1,1,0.72,0.70,0.74,0.19,11.00,26.00,37.00
4372,7/6/2011,3,0,7,1,0,3,1,1,0.70,0.67,0.74,0.13,4.00,11.00,15.00
4373,7/6/2011,3,0,7,2,0,3,1,1,0.70,0.67,0.79,0.09,1.00,4.00,5.00
4374,7/6/2011,3,0,7,3,0,3,1,1,0.70,0.67,0.79,0.00,0.00,6.00,6.00
4375,7/6/2011,3,0,7,4,0,3,1,2,0.68,0.64,0.83,0.09,0.00,6.00,6.00
4376,7/6/2011,3,0,7,5,0,3,1,1,0.68,0.64,0.83,0.09,5.00,30.00,35.00
4377,7/6/2011,3,0,7,6,0,3,1,1,0.70,0.67,0.79,0.09,9.00,112.00,121.00
4378,7/6/2011,3,0,7,7,0,3,1,2,0.72,0.70,0.79,0.00,24.00,288.00,312.00
4379,7/6/2011,3,0,7,8,0,3,1,2,0.72,0.70,0.74,0.10,31.00,397.00,428.00
4380,7/6/2011,3,0,7,9,0,3,1,3,0.70,0.67,0.79,0.19,31.00,158.00,189.00
4381,7/6/2011,3,0,7,10,0,3,1,3,0.70,0.67,0.79,0.09,13.00,30.00,43.00
4382,7/6/2011,3,0,7,11,0,3,1,2,0.72,0.70,0.74,0.00,24.00,103.00,127.00
4383,7/6/2011,3,0,7,12,0,3,1,2,0.74,0.70,0.66,0.09,38.00,114.00,152.00
4384,7/6/2011,3,0,7,13,0,3,1,2,0.74,0.70,0.70,0.10,33.00,107.00,140.00
4385,7/6/2011,3,0,7,14,0,3,1,1,0.76,0.73,0.66,0.28,50.00,113.00,163.00
4386,7/6/2011,3,0,7,15,0,3,1,1,0.76,0.73,0.70,0.28,55.00,130.00,185.00
4387,7/6/2011,3,0,7,16,0,3,1,1,0.76,0.73,0.70,0.25,57.00,218.00,275.00
4388,7/6/2011,3,0,7,17,0,3,1,1,0.78,0.74,0.59,0.22,79.00,517.00,596.00
4389,7/6/2011,3,0,7,18,0,3,1,1,0.76,0.71,0.62,0.19,77.00,486.00,563.00
4390,7/6/2011,3,0,7,19,0,3,1,1,0.74,0.70,0.70,0.22,71.00,323.00,394.00
4391,7/6/2011,3,0,7,20,0,3,1,1,0.72,0.70,0.74,0.25,55.00,257.00,312.00
4392,7/6/2011,3,0,7,21,0,3,1,1,0.70,0.67,0.79,0.19,66.00,175.00,241.00
4393,7/6/2011,3,0,7,22,0,3,1,1,0.70,0.67,0.79,0.19,30.00,156.00,186.00
4394,7/6/2011,3,0,7,23,0,3,1,1,0.68,0.64,0.83,0.22,20.00,78.00,98.00
4395,7/7/2011,3,0,7,0,0,4,1,1,0.66,0.59,0.89,0.13,6.00,29.00,35.00
4396,7/7/2011,3,0,7,1,0,4,1,1,0.66,0.59,0.89,0.19,2.00,14.00,16.00
4397,7/7/2011,3,0,7,2,0,4,1,1,0.66,0.59,0.89,0.19,1.00,7.00,8.00
4398,7/7/2011,3,0,7,3,0,4,1,1,0.64,0.56,0.94,0.10,2.00,2.00,4.00
4399,7/7/2011,3,0,7,4,0,4,1,1,0.64,0.58,0.89,0.10,0.00,4.00,4.00
4400,7/7/2011,3,0,7,5,0,4,1,1,0.64,0.58,0.89,0.10,2.00,30.00,32.00
4401,7/7/2011,3,0,7,6,0,4,1,2,0.64,0.58,0.89,0.13,11.00,107.00,118.00
4402,7/7/2011,3,0,7,7,0,4,1,2,0.66,0.59,0.89,0.10,13.00,279.00,292.00
4403,7/7/2011,3,0,7,8,0,4,1,2,0.70,0.67,0.79,0.19,28.00,415.00,443.00
4404,7/7/2011,3,0,7,9,0,4,1,1,0.74,0.70,0.70,0.16,25.00,154.00,179.00
4405,7/7/2011,3,0,7,10,0,4,1,1,0.78,0.74,0.62,0.00,29.00,72.00,101.00
4406,7/7/2011,3,0,7,11,0,4,1,1,0.82,0.77,0.52,0.13,30.00,112.00,142.00
4407,7/7/2011,3,0,7,12,0,4,1,1,0.84,0.77,0.41,0.00,32.00,139.00,171.00
4408,7/7/2011,3,0,7,13,0,4,1,1,0.86,0.79,0.41,0.00,48.00,107.00,155.00
4409,7/7/2011,3,0,7,14,0,4,1,1,0.86,0.79,0.41,0.25,39.00,121.00,160.00
4410,7/7/2011,3,0,7,15,0,4,1,1,0.86,0.79,0.41,0.25,47.00,119.00,166.00
4411,7/7/2011,3,0,7,16,0,4,1,1,0.86,0.77,0.39,0.22,47.00,218.00,265.00
4412,7/7/2011,3,0,7,17,0,4,1,1,0.86,0.76,0.36,0.25,80.00,489.00,569.00
4413,7/7/2011,3,0,7,18,0,4,1,1,0.84,0.76,0.44,0.30,70.00,492.00,562.00
4414,7/7/2011,3,0,7,19,0,4,1,1,0.82,0.77,0.52,0.28,79.00,286.00,365.00
4415,7/7/2011,3,0,7,20,0,4,1,1,0.76,0.71,0.58,0.36,61.00,224.00,285.00
4416,7/7/2011,3,0,7,21,0,4,1,1,0.74,0.68,0.62,0.16,39.00,170.00,209.00
4417,7/7/2011,3,0,7,22,0,4,1,1,0.74,0.68,0.62,0.16,32.00,150.00,182.00
4418,7/7/2011,3,0,7,23,0,4,1,1,0.72,0.68,0.66,0.00,31.00,98.00,129.00
4419,7/8/2011,3,0,7,0,0,5,1,1,0.74,0.70,0.66,0.10,6.00,41.00,47.00
4420,7/8/2011,3,0,7,1,0,5,1,1,0.72,0.70,0.79,0.00,9.00,25.00,34.00
4421,7/8/2011,3,0,7,2,0,5,1,2,0.70,0.67,0.74,0.16,10.00,12.00,22.00
4422,7/8/2011,3,0,7,3,0,5,1,1,0.68,0.64,0.79,0.10,2.00,4.00,6.00
4423,7/8/2011,3,0,7,4,0,5,1,1,0.70,0.67,0.79,0.25,7.00,4.00,11.00
4424,7/8/2011,3,0,7,5,0,5,1,1,0.68,0.64,0.79,0.25,3.00,24.00,27.00
4425,7/8/2011,3,0,7,6,0,5,1,1,0.70,0.67,0.74,0.10,11.00,91.00,102.00
4426,7/8/2011,3,0,7,7,0,5,1,2,0.70,0.67,0.79,0.19,30.00,302.00,332.00
4427,7/8/2011,3,0,7,8,0,5,1,2,0.72,0.70,0.74,0.25,36.00,421.00,457.00
4428,7/8/2011,3,0,7,9,0,5,1,2,0.76,0.73,0.70,0.30,30.00,211.00,241.00
4429,7/8/2011,3,0,7,10,0,5,1,2,0.74,0.70,0.70,0.36,30.00,108.00,138.00
4430,7/8/2011,3,0,7,11,0,5,1,2,0.74,0.71,0.74,0.25,61.00,104.00,165.00
4431,7/8/2011,3,0,7,12,0,5,1,2,0.76,0.73,0.70,0.28,49.00,164.00,213.00
4432,7/8/2011,3,0,7,13,0,5,1,2,0.78,0.76,0.66,0.28,54.00,175.00,229.00
4433,7/8/2011,3,0,7,14,0,5,1,2,0.80,0.79,0.63,0.36,53.00,163.00,216.00
4434,7/8/2011,3,0,7,15,0,5,1,2,0.80,0.79,0.63,0.36,39.00,102.00,141.00
4435,7/8/2011,3,0,7,16,0,5,1,3,0.68,0.64,0.83,0.45,27.00,105.00,132.00
4436,7/8/2011,3,0,7,17,0,5,1,3,0.66,0.59,0.89,0.45,6.00,161.00,167.00
4437,7/8/2011,3,0,7,18,0,5,1,1,0.66,0.61,0.83,0.09,35.00,281.00,316.00
4438,7/8/2011,3,0,7,19,0,5,1,1,0.66,0.61,0.83,0.09,45.00,225.00,270.00
4439,7/8/2011,3,0,7,20,0,5,1,1,0.66,0.61,0.83,0.16,30.00,220.00,250.00
4440,7/8/2011,3,0,7,21,0,5,1,2,0.66,0.61,0.83,0.25,46.00,158.00,204.00
4441,7/8/2011,3,0,7,22,0,5,1,2,0.66,0.61,0.78,0.19,33.00,136.00,169.00
4442,7/8/2011,3,0,7,23,0,5,1,2,0.66,0.61,0.78,0.09,40.00,111.00,151.00
4443,7/9/2011,3,0,7,0,0,6,0,2,0.66,0.61,0.83,0.13,31.00,90.00,121.00
4444,7/9/2011,3,0,7,1,0,6,0,2,0.64,0.58,0.89,0.10,5.00,48.00,53.00
4445,7/9/2011,3,0,7,2,0,6,0,1,0.64,0.58,0.89,0.16,12.00,43.00,55.00
4446,7/9/2011,3,0,7,3,0,6,0,1,0.64,0.58,0.89,0.13,7.00,23.00,30.00
4447,7/9/2011,3,0,7,4,0,6,0,1,0.64,0.58,0.83,0.22,2.00,4.00,6.00
4448,7/9/2011,3,0,7,5,0,6,0,2,0.62,0.56,0.88,0.16,4.00,11.00,15.00
4449,7/9/2011,3,0,7,6,0,6,0,2,0.64,0.58,0.83,0.19,11.00,27.00,38.00
4450,7/9/2011,3,0,7,7,0,6,0,1,0.66,0.61,0.78,0.19,21.00,50.00,71.00
4451,7/9/2011,3,0,7,8,0,6,0,1,0.70,0.65,0.70,0.25,68.00,114.00,182.00
4452,7/9/2011,3,0,7,9,0,6,0,1,0.74,0.68,0.58,0.28,77.00,170.00,247.00
4453,7/9/2011,3,0,7,10,0,6,0,1,0.76,0.70,0.52,0.16,87.00,177.00,264.00
4454,7/9/2011,3,0,7,11,0,6,0,1,0.78,0.70,0.46,0.30,101.00,189.00,290.00
4455,7/9/2011,3,0,7,12,0,6,0,1,0.80,0.73,0.46,0.25,145.00,221.00,366.00
4456,7/9/2011,3,0,7,13,0,6,0,1,0.82,0.74,0.41,0.22,167.00,249.00,416.00
4457,7/9/2011,3,0,7,14,0,6,0,1,0.84,0.74,0.36,0.13,158.00,215.00,373.00
4458,7/9/2011,3,0,7,15,0,6,0,1,0.84,0.73,0.34,0.09,182.00,220.00,402.00
4459,7/9/2011,3,0,7,16,0,6,0,1,0.82,0.73,0.38,0.00,171.00,245.00,416.00
4460,7/9/2011,3,0,7,17,0,6,0,1,0.84,0.73,0.32,0.00,160.00,241.00,401.00
4461,7/9/2011,3,0,7,18,0,6,0,1,0.82,0.73,0.36,0.10,132.00,246.00,378.00
4462,7/9/2011,3,0,7,19,0,6,0,1,0.76,0.70,0.55,0.16,128.00,178.00,306.00
4463,7/9/2011,3,0,7,20,0,6,0,1,0.76,0.71,0.58,0.22,129.00,185.00,314.00
4464,7/9/2011,3,0,7,21,0,6,0,1,0.74,0.68,0.58,0.16,83.00,155.00,238.00
4465,7/9/2011,3,0,7,22,0,6,0,1,0.72,0.68,0.62,0.16,60.00,154.00,214.00
4466,7/9/2011,3,0,7,23,0,6,0,1,0.72,0.67,0.58,0.19,47.00,93.00,140.00
4467,7/10/2011,3,0,7,0,0,0,0,1,0.70,0.65,0.61,0.16,42.00,112.00,154.00
4468,7/10/2011,3,0,7,1,0,0,0,1,0.70,0.65,0.61,0.13,19.00,94.00,113.00
4469,7/10/2011,3,0,7,2,0,0,0,1,0.68,0.64,0.69,0.09,28.00,68.00,96.00
4470,7/10/2011,3,0,7,3,0,0,0,1,0.66,0.62,0.74,0.09,6.00,19.00,25.00
4471,7/10/2011,3,0,7,4,0,0,0,1,0.66,0.62,0.69,0.09,0.00,5.00,5.00
4472,7/10/2011,3,0,7,5,0,0,0,1,0.66,0.62,0.74,0.00,7.00,10.00,17.00
4473,7/10/2011,3,0,7,6,0,0,0,1,0.64,0.59,0.78,0.09,8.00,17.00,25.00
4474,7/10/2011,3,0,7,7,0,0,0,1,0.70,0.65,0.70,0.09,27.00,38.00,65.00
4475,7/10/2011,3,0,7,8,0,0,0,1,0.72,0.68,0.66,0.00,27.00,65.00,92.00
4476,7/10/2011,3,0,7,9,0,0,0,1,0.74,0.70,0.66,0.09,62.00,107.00,169.00
4477,7/10/2011,3,0,7,10,0,0,0,1,0.76,0.70,0.55,0.13,95.00,173.00,268.00
4478,7/10/2011,3,0,7,11,0,0,0,1,0.78,0.73,0.55,0.19,110.00,177.00,287.00
4479,7/10/2011,3,0,7,12,0,0,0,1,0.82,0.76,0.46,0.28,133.00,244.00,377.00
4480,7/10/2011,3,0,7,13,0,0,0,1,0.80,0.73,0.46,0.30,139.00,228.00,367.00
4481,7/10/2011,3,0,7,14,0,0,0,1,0.82,0.74,0.41,0.33,122.00,227.00,349.00
4482,7/10/2011,3,0,7,15,0,0,0,1,0.84,0.74,0.39,0.28,142.00,219.00,361.00
4483,7/10/2011,3,0,7,16,0,0,0,1,0.84,0.76,0.41,0.28,128.00,244.00,372.00
4484,7/10/2011,3,0,7,17,0,0,0,1,0.84,0.74,0.36,0.22,146.00,217.00,363.00
